TrackName: Percussion
A NoteOff, Abs: 5216 (D 32)
A NoteOn, Abs: 5256 (D 40)
A NoteOff, Abs: 5288 (D 32)
A NoteOn, Abs: 5304 (D 16)
A NoteOff, Abs: 5320 (D 16)
A NoteOn, Abs: 5328 (D 8)
A NoteOff, Abs: 5344 (D 16)
A NoteOn, Abs: 5352 (D 8)
A NoteOff, Abs: 5368 (D 16)
A NoteOn, Abs: 5376 (D 8)
A NoteOff, Abs: 5408 (D 32)
A NoteOn, Abs: 5424 (D 16)
A NoteOff, Abs: 5440 (D 16)
A NoteOn, Abs: 5448 (D 8)
A NoteOff, Abs: 5480 (D 32)
A NoteOn, Abs: 5496 (D 16)
A NoteOff, Abs: 5512 (D 16)
A NoteOn, Abs: 5520 (D 8)
A NoteOff, Abs: 5552 (D 32)
A NoteOn, Abs: 5568 (D 16)
A NoteOff, Abs: 5600 (D 32)
A NoteOn, Abs: 5640 (D 40)
A NoteOff, Abs: 5672 (D 32)
A NoteOn, Abs: 5688 (D 16)
A NoteOff, Abs: 5704 (D 16)
A NoteOn, Abs: 5712 (D 8)
A NoteOff, Abs: 5728 (D 16)
A NoteOn, Abs: 5736 (D 8)
A NoteOff, Abs: 5752 (D 16)
A NoteOn, Abs: 5760 (D 8)
A NoteOff, Abs: 5792 (D 32)
A NoteOn, Abs: 5808 (D 16)
A NoteOff, Abs: 5824 (D 16)
A NoteOn, Abs: 5832 (D 8)
A NoteOff, Abs: 5864 (D 32)
A NoteOn, Abs: 5880 (D 16)
A NoteOff, Abs: 5896 (D 16)
A NoteOn, Abs: 5904 (D 8)
A NoteOff, Abs: 5936 (D 32)
A NoteOn, Abs: 5952 (D 16)
A NoteOff, Abs: 5984 (D 32)
A NoteOn, Abs: 6024 (D 40)
A NoteOff, Abs: 6056 (D 32)
A NoteOn, Abs: 6072 (D 16)
A NoteOff, Abs: 6088 (D 16)
A NoteOn, Abs: 6096 (D 8)
A NoteOff, Abs: 6112 (D 16)
A NoteOn, Abs: 6120 (D 8)
A NoteOff, Abs: 6136 (D 16)
A NoteOn, Abs: 6144 (D 8)
A NoteOff, Abs: 6176 (D 32)
A NoteOn, Abs: 6192 (D 16)
A NoteOff, Abs: 6208 (D 16)
A NoteOn, Abs: 6216 (D 8)
A NoteOff, Abs: 6248 (D 32)
A NoteOn, Abs: 6264 (D 16)
