TrackName: Bass Line
A NoteOn, Abs: 9024 (D 32)
A NoteOff, Abs: 9040 (D 16)
A NoteOn, Abs: 9072 (D 32)
A NoteOff, Abs: 9088 (D 16)
F NoteOn, Abs: 9120 (D 32)
F NoteOff, Abs: 9136 (D 16)
F NoteOn, Abs: 9144 (D 8)
F NoteOff, Abs: 9160 (D 16)
A NoteOn, Abs: 9168 (D 8)
A NoteOff, Abs: 9184 (D 16)
C NoteOn, Abs: 9216 (D 32)
C NoteOff, Abs: 9232 (D 16)
C NoteOn, Abs: 9240 (D 8)
C NoteOff, Abs: 9256 (D 16)
C NoteOn, Abs: 9288 (D 32)
C NoteOff, Abs: 9304 (D 16)
C NoteOn, Abs: 9312 (D 8)
C NoteOff, Abs: 9328 (D 16)
D NoteOn, Abs: 9344 (D 16)
D NoteOff, Abs: 9360 (D 16)
E NoteOn, Abs: 9376 (D 16)
E NoteOff, Abs: 9392 (D 16)
F NoteOn, Abs: 9408 (D 16)
F NoteOff, Abs: 9424 (D 16)
C NoteOn, Abs: 9456 (D 32)
C NoteOff, Abs: 9472 (D 16)
E NoteOn, Abs: 9504 (D 32)
E NoteOff, Abs: 9520 (D 16)
E NoteOn, Abs: 9600 (D 80)
E NoteOff, Abs: 9616 (D 16)
A# NoteOn, Abs: 9672 (D 56)
A# NoteOff, Abs: 9688 (D 16)
C NoteOn, Abs: 9696 (D 8)
C NoteOff, Abs: 9712 (D 16)
F NoteOn, Abs: 9744 (D 32)
F NoteOff, Abs: 9760 (D 16)
A NoteOn, Abs: 9792 (D 32)
A NoteOff, Abs: 9808 (D 16)
A NoteOn, Abs: 9840 (D 32)
A NoteOff, Abs: 9856 (D 16)
F NoteOn, Abs: 9888 (D 32)
F NoteOff, Abs: 9904 (D 16)
F NoteOn, Abs: 9912 (D 8)
F NoteOff, Abs: 9928 (D 16)
A NoteOn, Abs: 9936 (D 8)
A NoteOff, Abs: 9952 (D 16)
F# NoteOn, Abs: 9984 (D 32)
F# NoteOff, Abs: 10000 (D 16)
A NoteOn, Abs: 10056 (D 56)
A NoteOff, Abs: 10072 (D 16)
C NoteOn, Abs: 10080 (D 8)
C NoteOff, Abs: 10096 (D 16)
E NoteOn, Abs: 10128 (D 32)
E NoteOff, Abs: 10144 (D 16)
C NoteOn, Abs: 10176 (D 32)
C NoteOff, Abs: 10192 (D 16)
C NoteOn, Abs: 10224 (D 32)
C NoteOff, Abs: 10240 (D 16)
F NoteOn, Abs: 10272 (D 32)
F NoteOff, Abs: 10288 (D 16)
F NoteOn, Abs: 10296 (D 8)
F NoteOff, Abs: 10312 (D 16)
C NoteOn, Abs: 10320 (D 8)
C NoteOff, Abs: 10336 (D 16)
E NoteOn, Abs: 10368 (D 32)
E NoteOff, Abs: 10384 (D 16)
A# NoteOn, Abs: 10440 (D 56)
A# NoteOff, Abs: 10456 (D 16)
C NoteOn, Abs: 10464 (D 8)
C NoteOff, Abs: 10480 (D 16)
F NoteOn, Abs: 10512 (D 32)
F NoteOff, Abs: 10528 (D 16)
A NoteOn, Abs: 10560 (D 32)
A NoteOff, Abs: 10576 (D 16)
A NoteOn, Abs: 10608 (D 32)
A NoteOff, Abs: 10624 (D 16)
F NoteOn, Abs: 10656 (D 32)
F NoteOff, Abs: 10672 (D 16)
F NoteOn, Abs: 10680 (D 8)
F NoteOff, Abs: 10696 (D 16)
A NoteOn, Abs: 10704 (D 8)
A NoteOff, Abs: 10720 (D 16)
C NoteOn, Abs: 10752 (D 32)
C NoteOff, Abs: 10768 (D 16)
C NoteOn, Abs: 10776 (D 8)
C NoteOff, Abs: 10792 (D 16)
C NoteOn, Abs: 10824 (D 32)
C NoteOff, Abs: 10840 (D 16)
C NoteOn, Abs: 10848 (D 8)
C NoteOff, Abs: 10864 (D 16)
D NoteOn, Abs: 10880 (D 16)
D NoteOff, Abs: 10896 (D 16)
E NoteOn, Abs: 10912 (D 16)
E NoteOff, Abs: 10928 (D 16)
F NoteOn, Abs: 10944 (D 16)
F NoteOff, Abs: 10960 (D 16)
C NoteOn, Abs: 10992 (D 32)
C NoteOff, Abs: 11008 (D 16)
E NoteOn, Abs: 11040 (D 32)
E NoteOff, Abs: 11056 (D 16)
C NoteOn, Abs: 11136 (D 80)
C NoteOff, Abs: 11152 (D 16)
G NoteOn, Abs: 11208 (D 56)
G NoteOff, Abs: 11224 (D 16)
C# NoteOn, Abs: 11280 (D 56)
C# NoteOff, Abs: 11296 (D 16)
C NoteOn, Abs: 11328 (D 32)
C NoteOff, Abs: 11344 (D 16)
E NoteOn, Abs: 11400 (D 56)
E NoteOff, Abs: 11416 (D 16)
A# NoteOn, Abs: 11472 (D 56)
A# NoteOff, Abs: 11488 (D 16)
C NoteOn, Abs: 11520 (D 32)
C NoteOff, Abs: 11536 (D 16)
G NoteOn, Abs: 11592 (D 56)
G NoteOff, Abs: 11608 (D 16)
C# NoteOn, Abs: 11664 (D 56)
C# NoteOff, Abs: 11680 (D 16)
C NoteOn, Abs: 11712 (D 32)
C NoteOff, Abs: 11728 (D 16)
E NoteOn, Abs: 11784 (D 56)
E NoteOff, Abs: 11800 (D 16)
A# NoteOn, Abs: 11856 (D 56)
A# NoteOff, Abs: 11872 (D 16)
C NoteOn, Abs: 11904 (D 32)
C NoteOff, Abs: 11920 (D 16)
G NoteOn, Abs: 11976 (D 56)
G NoteOff, Abs: 11992 (D 16)
C# NoteOn, Abs: 12048 (D 56)
C# NoteOff, Abs: 12064 (D 16)
C NoteOn, Abs: 12096 (D 32)
C NoteOff, Abs: 12112 (D 16)
E NoteOn, Abs: 12168 (D 56)
E NoteOff, Abs: 12184 (D 16)
A# NoteOn, Abs: 12240 (D 56)
A# NoteOff, Abs: 12256 (D 16)
F# NoteOn, Abs: 12288 (D 32)
F# NoteOff, Abs: 12304 (D 16)
F# NoteOn, Abs: 12312 (D 8)
F# NoteOff, Abs: 12328 (D 16)
F# NoteOn, Abs: 12360 (D 32)
F# NoteOff, Abs: 12376 (D 16)
F# NoteOn, Abs: 12408 (D 32)
F# NoteOff, Abs: 12424 (D 16)
F# NoteOn, Abs: 12432 (D 8)
F# NoteOff, Abs: 12448 (D 16)
C# NoteOn, Abs: 12480 (D 32)
C# NoteOff, Abs: 12496 (D 16)
C NoteOn, Abs: 12576 (D 80)
C NoteOff, Abs: 12592 (D 16)
E NoteOn, Abs: 12672 (D 80)
E NoteOff, Abs: 12688 (D 16)
A# NoteOn, Abs: 12744 (D 56)
A# NoteOff, Abs: 12760 (D 16)
C NoteOn, Abs: 12768 (D 8)
C NoteOff, Abs: 12784 (D 16)
F NoteOn, Abs: 12816 (D 32)
F NoteOff, Abs: 12832 (D 16)
A NoteOn, Abs: 12864 (D 32)
A NoteOff, Abs: 12880 (D 16)
A NoteOn, Abs: 12912 (D 32)
A NoteOff, Abs: 12928 (D 16)
F NoteOn, Abs: 12960 (D 32)
F NoteOff, Abs: 12976 (D 16)
F NoteOn, Abs: 12984 (D 8)
F NoteOff, Abs: 13000 (D 16)
A NoteOn, Abs: 13008 (D 8)
